qid,Label,Type,Author,Publisher,Date,Game_references,Misc_references,Quotations,Notes,
Q5291634,Don't give up the ship,miniature wargame,"Arneson, Gygax & Carr",Guidon Games,1975,0,14,0,p. 53,
Q3966833,Dragon Pass,board wargame,,Corbett & Stafford,1983,0,7,0,"7 fantasy novels or saga, numerous fictive epigtraphs without sources",
Q85757615,Dragonlord,board wargame,,Wee Warriors,1976,0,0,0,,
Q56277272,Dragons of Underearth,board game,,Metagaming,1981,5,0,0,"Fantasy Trip RPG, Melee Wizards, Advanced Wizards, Lords of Underearth, Conquerors of Underearth",
Q55609992,Dragonslayer,board game,,SPI,1981,0,1,0,cites the Walt Disney movie,
Q389078,Dune,board game,,Avalon Hill,1979,1,0,0,1 ref : Dune of Franck Herbert,
Q5315118,Dungeon!,board game,Megarry,TSR,1975,0,0,0,,
,El Alamein 1942,board wargame,Dunnigan,SPI,1973,0,0,0,Mention -What if- scenarios,
Q48976681,Elric: Battle at the End of Time,board wargame,Stafford & Krank,Chaosium,1977,1,17,0,"17 novelas of the Eternal Champions, Cited the Stormbringer TTRPG",
,Empires in Arms,board wargame,Rowland & Pinder,Avalon Hill,1986,0,0,0,,
Q5374232,Empires of the Middle-Ages,board wargame,Dunnigan,SPI,1980,1,0,0,Monopoly cited as comparison for complexity,
,Fall of Rome,board wargame,,SPI,1973,5,0,0,5 wargamnes to compare complexity,
,"Fast Carriers, Air-Sea Operations 1941-1977",board wargame,,SPI,1975,0,0,0,,
Q65074933,Fellowship of the Ring,board wargame,Charlton,ICE,1983,0,2,0,"LotR, The Hobbit",
,Fighting Sails,board wargame,,SPI,1981,0,0,0,,
,Fire when Ready,board wargame,,Metagaming,1982,0,0,1,p. 2,
,FireFight,board wargame,Dunnigan,SPI,1976,0,0,0,,
,Firepower,board wargame,,Avalon Hill,1984,0,0,0,,
,Flight Leader,board wargame,,Avalon Hill,1985,0,0,1,1 quote from the Red Baron + special thanks,
Q6018777,Flight of the Goeben,board wargame,,SPI,1970,0,0,0,Cites Tactical Goeben & Anzio.,
Q5460157,Floor Games,miniature wargame,Wells,Frank Palmer,1911,?,?,0,,
,Flying Circus,board wargame,Dunnigan,SPI,1972,0,0,0,,
,Foxbat & Phantom,board wargame,Dunnigan,SPI,1973,0,0,0,,
,France 1940,board wargame,Dunnigan,Avalon Hill,1972,0,19,0,19 ref.,
,Frederick The Great,board wargame,,SPI,1975,0,0,0,,
Q3087330,Freedom in the Galaxy,board game,,Avalon Hill,1981,0,0,5,5 fictive epigraphs,
Q3087330,Freedom in the Galaxy,board game,,SPI,1979,0,0,5,5 fictive epigraphs. Galactic Guide,
,FUBAR 4th ed.,miniature wargame,Cartmell,Self-publishing,2010,2,1,0,"Cites Stargate, Starship Troopers & W40K",
,Fulda Gap,board wargame,,SPI,1977,8,4,0,"6 journals, 3 wargames (Firefight, MechWar 77, Wurzburg) that inspired + 5 wargames to compare complexity, 8 books ",
,Games of Middle-Earth : Gondor & Sauron,board wargame,,SPI,1977,1,1,0,LoTR + War of the Ring wargame.,
Q5554735,Gettysburg,board wargame,,Avalon Hill,1958,?,?,0,,
Q47447998,Gladiator,board game,,Avalon Hill,1981,0,0,0,,
,Great Medieval Battles - King Arthur,board wargame,,SPI,1979,0,0,0,,
,Great Medieval Battles - Robert at Bannockburn,board wargame,,SPI,1979,0,1,0,,Marlowe play of the same name
,Great Medieval Battles - Tamburlaine the Great,board wargame,,SPI,1979,0,0,0,,
,Great Medieval Battles - The Black Prince,board wargame,,SPI,1979,0,0,0,,
,Great War in the East,board wargame,Dunnigan,SPI,1978,1,0,0,Tannenberg game system cited,
,Grenadier,board wargame,Dunnigan,SPI,1971,5,0,0,"5 boardgames and wargames cited as comparison of complexity (Diplomacy, Monopoly, Panzerblitz, France 1940, Afrika Korps)",
,Gunslinger,board wargame,,Avalon Hill,1982,0,0,0,,
,Hammer’s Slammers,board wargame,,Mayfair Games,1984,0,1,0,1 novel that inspired the game,
,Harpoon 4.1,board wargame,,,1997,1,185,1,"Several special thanks, cites Command at Sea (wargame) & US Naval Institute Proceedings2, Cover of a book by Admiral S Wooward + 146 books + 12 books series + 11 UG gov Publ + 22 periodicals",
Q5759972,Highway to the Reich,board wargame,,SPI,1977,1,1,0,Novel : A bridge too far. Wargem : MOVES,
Q1339281,History of the World,board game,Ragnar Bros.,Avalon Hill/Hasbro,2001,0,0,0,,
Q5872001,Hitler's war,board wargame,,Avalon Hill,1984,0,0,0,,
,Hundred days battles,board wargame,,Avalon Hill,1983,0,0,0,,
,IDF,board wargame,,Avalon Hill,1993,0,0,0,,
Q6059572,Invasion : America,board wargame,Dunnigan,SPI,1976,2,0,1,Battle for Germany + Global War + War in the East. Game system inspired by France 1940 + Kursk.,
,Island War : Bloody Ridge,board wargame,,SPI,1975,0,0,0,,
,Island War : Leyte,board wargame,,SPI,1975,0,0,0,,
,Island War : Okinawa,board wargame,,SPI,1975,0,0,0,,
,Island War : Saipan,board wargame,,SPI,1975,0,3,0,,
