qid,edition,series_ordinal,label,date,nb_forged,nb_work,academic,literature,historical,music,religious,game,unknown,bd,cinema,videogame,franchise,confusing_mix,notes,,
Q2785871,2nd ed.,2,Conspiracy X,,3,0,,,,,,,,,,,,,,,
Q104853867,,,Coriolis,,16,0,,,,,,,,,,,,,,,
Q5172519,,,Corporation,,92,11,a,l,h,,,,,,c,,,x,,,
Q17084635,,,Cortex Plus,,0,0,,,,,,,,,,,,,,,
Q68624889,2nd ed.,2,Cthulhu Dark,,0,0,,,,,,,,,,,f,,,,
Q1142759,,,CthulhuTech,,0,0,,,,,,,,,,,f,,,,
Q2151657,,,Cybergeneration,,11,0,,,,,,,,,,,,,,,
Q1034675,2020,2,Cyberpunk,1990,84,1,,,,m,,,,,,,,,,,
Q78093745,,,Cypher System,,2,3,,l,,m,,,u,,,,,x,,,
Q11964665,,,Dangerous Journeys,,0,1,,l,,,,,,,,,,,,,
Q28126582,,1,Dark Ages: Vampire ,1998,1,23,,l,h,,r,,,,,,,,,,
Q28126582,Revised ed,2,Dark Ages: Vampire ,2002,13,0,,,,,,,,,,,,,,,
Q5204575,,,DC Adventures: Heroes & Villains ,,0,0,,,,,,,,,,,,,,,
Q25565177,Reloaded,2,Deadlands,,0,0,,,,,,,,,,,,,,,
Q1186416,1st ed.,1,Demon: The Fallen,,5,12,a,l,,,,,,,,,,,,,
Q64706218,,,Dirty Secrets,,0,17,a,l,,,r,,,,,,,,,,
Q68029775,,,Dog Eat Dog,,0,6,a,l,h,,,,,,,,,,,,
Q67690059,1ere éd. ,1,Dragon de poche,,1,9,,l,,,,g,,,,,,,,,
Q67690059,2e éd.,2,Dragon de poche,,1,9,,l,,,,g,,,,,,,,,
Q5305090,,,DragonRaid,,0,30,,,,,r,,,,,,,,Bible verses,,
Q15221892,,,Dungeon World,,0,58,a,l,h,m,,,,,c,,,,,,
Q64623379,3.5,,Dungeons & Dragons,,0,0,,,,,,,,,,,,,,,
Q64623234,3rd ed.,,Dungeons & Dragons,,0,0,,,,,,,,,,,,,,,
Q64706119,4th ed.,,Dungeons & Dragons,,0,0,,,,,,,,,,,,,,,
Q64706124,5th ed. DMG,,Dungeons & Dragons,,0,8,,l,,,,,,,,,f,,D&D fictions,,
Q64706124,5th ed. PHB,,Dungeons & Dragons,,0,10,,l,,,,g,,,,,,,D&D fictions, one from Gary Gygax as introduction to bibliography,
Q64597025,Basic Set Mentzer ,,Dungeons & Dragons,1983,0,0,,,,,,,,,,,,,,,
Q5315175,Companion Set,,Dungeons & Dragons,,0,0,,,,,,,,,,,,,,,
Q5315180,Immortals Rules ,,Dungeons & Dragons,,0,3,,l,,,,,,,,,,,,,
Q1265749,,,Dungeonslayers,,0,0,,,,,,,,,,,,,,,
Q5464,1st ed.,1,Earthdawn,1993,20,0,,,,,,,,,,,,,,,
