qid,edition,series_ordinal,label,date,nb_forged,nb_work,academic,literature,historical,music,religious,game,unknown,bd,cinema,videogame,franchise,confusing_mix,notes,,
Q3210775,,,Trail of Cthulhu,,0,72,,l,,,,,,,,,f,,,,
Q104853529,Cepheus Engine,,Traveller,,0,0,,,,,,,,,,,,,,,
Q64560508,,,Tremulus,,0,6,,l,,,,,,,,,f,,,,
Q1372078,,,Tribe 8,,7,0,,,,,,,,,,,,,,,
Q3539302,,,Trinités,,8,0,,,,,,,,,,,,,,,
Q105362866,,,Trucs trop bizarres,,0,0,,,,,,,,,,,,,,,
Q7848259,,,Truth & Justice,,0,13,,,,,,,,b,,,,,,,
Q683240,Deluxe,,Tunnels & Trolls,,0,0,,,,,,,,,,,,,,,
Q1574279,,,TWERPS,,0,0,,,,,,,,,,,,,,,
Q78103702,,,Twilight: 2013,,0,10,a,l,h,,r,,,,,,,,,,
Q104589624,,,Ultraviolet Grasslands,,0,1,,,,m,,,,,,,,,,,
Q78103896,,,Under My Skin,,0,1,,l,,,,,,,,,,,,,
Q66579448,,,Urban Shadows,,0,0,,,,,,,,,,,,,,,
Q1336249,Kindred of the East,,Vampire: The Masquerade ,,6,15,a,l,h,,r,,,,,,,,,,
Q650924,2nd ed.,2,Vampire: The Masquerade ,1992,4,67,a,l,h,m,r,,,b,c,,,,,,
Q650924,Revised ed,3,Vampire: The Masquerade ,1998,24,0,,,,,,,,,,,,,,,
Q650924,1st ed.,1,Vampire: The Masquerade ,1991,6,93,a,l,h,m,r,,,b,c,,,,,,
Q338023,Vampire: The Requiem 1st ed.,4,Vampire: The Masquerade ,2004,18,7,,l,h,,r,,,,,,,,,,
,,,Vikings & Walkyries,,0,0,,,,,,,,,,,,,,,
Q4012863,,,Villains and Vigilantes,,0,0,,,,,,,,,,,,,,,
Q17040847,,,Violence RPG,,0,0,,,,,,,,,,,,,,,
Q5490,3rd ed.,3,Warhammer Fantasy Roleplay ,2009,63,0,,,,,,,,,,,,,,,
Q5490,2fr,2,Warhammer Fantasy Roleplay ,2005,11,0,,,,,,,,,,,,,,,
Q5490,3 redux,4,Warhammer Fantasy Roleplay ,,12,0,,,,,,,,,,,,,,,
Q66171527,,,Wastburg,,0,0,,,,,,,,,,,,,,,
Q2142180,2nd ed.,2,Werewolf: The Apocalypse,1994,7,51,a,l,h,m,r,,u,,,,,x,,,
Q2142180,1st ed.,1,Werewolf: The Apocalypse,1992,1,21,a,l,,m,,,,b,,,,,"A LOT of music lyrics as quotes, almost all. 3 unattributed diegetic quotations",,
Q2142180,Revised ed,3,Werewolf: The Apocalypse,2000,0,0,,,,,,,,,,,,,,,
Q1933571,1st ed.,1,Wraith: The Oblivion,1994,4,64,a,l,,m,,,,,c,,,,,,
Q1933571,2nd ed.,2,Wraith: The Oblivion,1996,4,67,a,l,,m,,,,b,,,,,,,
Q1933571,20th anniv,3,Wraith: The Oblivion,2018,0,1,,l,,,,,,,,,,,10 quotes from letters from fans.,,
Q16683470,,,Würm ,,0,0,,,,,,,,,,,,,,,
Q105362729,,,Yoon-Suin,,0,0,,,,,,,,,,,,,,,
Q3573272,,,Yurl'h ,,1,0,,,,,,,,,,,,,,,
Q5845251,,,Z-Corps,,5,24,a,l,,,r,,,,c,,,x,,,
Q3575735,,,Zone,,0,0,,,,,,,,,,,,,6 fake quotations of popular people praising the game,,
Q7776913,,,Zorcerer of Zo,,0,1,a,,,,,,,,,,,,Probably a fake quotation of Einstein…,,
